,Topic,Count,Name,Representation,Representative_Docs
12,11,54,11_data_analytic_analyses_set,"['data', 'analytic', 'analyses', 'set', 'cohorts', 'analysis', 'same', 'robustness', 'errors', 'disparity']","['Because members \\nof this network of experts communicate extensively to \\nagree on their shared analytic approach and measures \\nto use from each longitudinal data set, a coordinated \\nanalysis falls into the top-right quadrant of Figure 1.\\n\\nNote  that  all  of  these  approaches  are  qualitatively \\ndifferent from fields in which many researchers inde-\\npendently leverage a central data source (e.g., the Gen-\\neral Social Survey, or GSS).', 'Increasingly, when their findings depend on a complex analytic \\n\\nmodel, researchers are encouraged to include robustness checks and perhaps even report a \\n\\n\\xe2\\x80\\x9dmultiverse\\xe2\\x80\\x9d analysis in which they conduct a large set of different analyses to examine \\n\\nsensitivity to certain modeling or analytic decisions more formally (Steegen et al., 2016).', 'Organizers provide a test \\ndata set and a particular question to be addressed to \\nmany  independent  analysts  (a  top-left-quadrant \\napproach) and then apply the analytic strategies to a \\nhold-out data set to evaluate their robustness.\\n\\nAnother  innovative  method  is  to  hold  constructs, \\nmodels, and covariates constant and leverage a network \\nof researchers to carry out this same analysis on differ-\\nent existing data sets (a coordinated analysis; Hofer & \\nPiccinin,  2009).']"
13,12,47,12_injury_brain_enigma_group,"['injury', 'brain', 'enigma', 'group', 'traumatic', 'nu', 'working', 'nt', 'nr', 'concussion']","['Author manuscript; available in PMC 2022 April 01.\\n\\n\\x0cA\\nu\\n\\nt\\n\\nh\\no\\nr\\n \\n\\nM\\na\\nn\\nu\\ns\\nc\\nr\\ni\\np\\n\\nt\\n\\nA\\nu\\n\\nt\\n\\nh\\no\\nr\\n \\n\\nM\\na\\nn\\nu\\ns\\nc\\nr\\ni\\np\\n\\nt\\n\\nA\\nu\\n\\nt\\n\\nh\\no\\nr\\n \\n\\nM\\na\\nn\\nu\\ns\\nc\\nr\\ni\\np\\n\\nt\\n\\nA\\nu\\nt\\nh\\no\\nr\\n \\n\\nM\\na\\nn\\nu\\ns\\nc\\nr\\ni\\np\\n\\nt\\n\\nWilde et al.\\n\\nPage 7\\n\\nLimitations and Challenges\\n\\nA central aim of the ENIGMA Brain Injury group is identifying factors that affect outcome.', 'Author manuscript; available in PMC 2022 April 01.\\n\\n\\x0cA\\nu\\n\\nt\\n\\nh\\no\\nr\\n \\n\\nM\\na\\nn\\nu\\ns\\nc\\nr\\ni\\np\\n\\nt\\n\\nA\\nu\\n\\nt\\n\\nh\\no\\nr\\n \\n\\nM\\na\\nn\\nu\\ns\\nc\\nr\\ni\\np\\n\\nt\\n\\nA\\nu\\n\\nt\\n\\nh\\no\\nr\\n \\n\\nM\\na\\nn\\nu\\ns\\nc\\nr\\ni\\np\\n\\nt\\n\\nA\\nu\\nt\\nh\\no\\nr\\n \\n\\nM\\na\\nn\\nu\\ns\\nc\\nr\\ni\\np\\n\\nt\\n\\nWilde et al.\\n\\nPage 6\\n\\nSuccesses in Other ENIGMA Groups\\n\\nPotential\\n\\nAmong ENIGMA working groups, the Brain Injury group is relatively young, allowing it to \\nbenefit from the experiences of more established working groups.', '\\nOrganization of the ENIGMA consortium and the ENIGMA Brain Injury working group.']"
14,13,45,13_basic_he_is_science,"['basic', 'he', 'is', 'science', 'soluble', 'applied', 'the', 'his', 'tends', 'machinery']","[""In basic science, the sci\\n entist\\'s criteria for deciding what he ought to try are usually internally\\n generated; that is, they derive from the internal logic of the sp?cific field\\n in which he works and from his assessment of how soluble the problem\\n is."", 'It is for this rea\\n son that much of basic science can remain disciplinary and little: the\\n interdisciplinary team is not its social characteristic.\\n\\n Of course, even as a description of basic little science this is over\\n simplified; to characterize science as the art of the soluble tells only part\\n of the story.', 'The necessity for explicit\\n planning is taken for granted, in much the same way as planning by a\\n project manager is the accepted way of doing business in the applied\\n laboratory.\\n\\n The typical home of massive basic science, like CERN in Geneva or\\n the Stanford Linear Accelerator, is however more specialized than is\\n the modern home of applied science; this goes back to the aforemen\\n tioned distinction between basic science, which tends to be internally\\n motivated and disciplinary, and applied science, which tends to be ex\\n ternally motivated and interdisciplinary.']"
15,14,45,14_open_science_practices_adoption,"['open', 'science', 'practices', 'adoption', 'norms', 'and', 'value', 'policies', 'reuse', 'to']","['\\n\\nChanging norms \\n\\n \\n\\n \\n\\n25 \\n\\n\\x0cchange researchers\\xe2\\x80\\x99 perceptions of norms \\xe2\\x80\\x93 the open science movement needs to make visible the \\n\\nrapid adoption of open science practices over the past ten years.', '\\n\\nThe Goals of Open Science: The 4 R\\xe2\\x80\\x99s \\n\\nThe open science movement pursues scientific transparency policies to enhance \\n\\nreplicability, improve reproducibility, accelerate discovery through reuse, and broaden global \\n\\nreach.', '\\n\\n \\n\\n \\n\\n26 \\n\\n\\x0cFormal incentives for open science practices can be instituted through a variety of \\n\\nmechanisms, including creation of DOIs associated with shared stimuli, procedures, and data to \\n\\nbe cited by researchers who access shared resources; consideration of open science practices in \\n\\npersonnel and tenure reviews of faculty hires and promotions; required sections of grant \\n\\napplications stating how and when research products will be shared; and funding streams for the \\n\\npreparation of data for open sharing and the reuse of existing datasets to maximize investments.']"
16,15,43,15_psyarxiv_npsyarxiv_adv_30,"['psyarxiv', 'npsyarxiv', 'adv', '30', 'behav', 'metaarxiv', 'nsci', 'obs', 'winnower', 'evol']","['PsyArXiv.', 'PsyArXiv.', 'PsyArXiv.']"
17,16,41,16_2020_2021_lakens_1986,"['2020', '2021', 'lakens', '1986', 'ed', 'boas', 'saberi', 'wobegon', 'gone', 'lake']","['(2020).', '(2020).', '(2020).']"
18,17,41,17_crowdsourcing_crowdsourced_research_xc2,"['crowdsourcing', 'crowdsourced', 'research', 'xc2', 'crowds', 'xa0al', 'nresearch', 'to', 'are', 'same']","['Only by experimenting with \\ndiverse  approaches,  some  staying  close  in  important \\nrespects  to  traditional  academic  review  and  others \\ndeparting radically, can we identify the most effective \\nways to communicate scientific ideas and knowledge.\\n\\nReplicating published findings\\nAmong  the  best  known  uses  of  crowdsourcing  are \\nlarge-scale  initiatives  to  directly  replicate  published \\nresearch in psychology, biomedicine, economics, and \\n\\n\\x0c724 \\n\\nUhlmann et al.\\n\\nother fields (e.g., Alogna et\\xc2\\xa0al., 2014; Errington et\\xc2\\xa0al., \\n2014; McCarthy et\\xc2\\xa0al., 2018; O\\xe2\\x80\\x99Donnell et\\xc2\\xa0al., 2018).', 'Crowdsourcing Different Stages of the Research Process\\n\\nStudy design\\n\\nThe same research hypothesis is given to different scientists, who independently design \\n\\nStage of research\\n\\nIdeation\\nAssembling resources\\n\\nData collection\\nData analysis\\nReplicating findings before \\n\\npublication\\n\\nWriting research reports\\nPeer review\\nReplicating published findings\\n\\nHow crowds are leveraged\\n\\nCrowds are used to generate novel research ideas and solutions to problems\\nOnline exchanges are used to match investigators with needs with partner laboratories who \\n\\nhave that resource\\n\\nstudies to test it\\n\\nits publication\\n\\nNumerous collaborators aid in obtaining research participants, observations, or samples\\nA network of researchers carries out statistical analyses to address the same research question\\nThe same methodology is repeated in independent laboratories to confirm the finding before \\n\\nA large group of contributors collectively writes a research article\\nA large group of commentators writes public feedback on a scientific article\\nThe same methods and materials from published articles are repeated in independent \\n\\nlaboratories to assess the robustness of the findings\\n\\nDeciding future directions\\n\\nCrowd predictions about future research outcomes are factored into decisions about how to \\n\\nallocate research resources for maximum impact\\n\\n\\x0cUhlmann et al.\\n\\n716 \\n\\nSource\\n\\net\\xc2\\xa0al.', 'Examples of Crowdsourced Scientific Initiatives\\n\\nSobel (2007)\\n\\nStarting in 1714, the British Parliament \\n\\nDevelopment of the marine chronometer\\n\\nMethod\\n\\nIdeation\\n\\nKey result(s)\\n\\nPolymath (2012, 2014)\\n\\nMathematical challenges are posted online for \\n\\nA new combinatorial proof to the density \\n\\nSchweinsberg, Feldman, \\n\\nCrowd of researchers asked to nominate \\n\\nThe crowd was able to generate interesting \\n\\nlaunched an open competition to solve how \\nto calculate the longitude of a ship at sea\\n\\nopen crowd collaboration\\n\\nhypotheses for testing with a complex data \\nset\\n\\nScientific problems are posted online, and \\n\\nprizes are offered for the best solution\\n\\nAssembling resources\\n\\nidentify and outsource specific research \\nneeds\\n\\nresources available for use by others or \\nneeded resources another researcher may \\nhave\\n\\nStudy design\\n\\nexperiments to test the same hypothesis; \\nresearch participants are then randomly \\nassigned to different study versions\\n\\nversion of the Hales-Jewett theorem, among \\nother solved mathematical problems\\n\\nhypotheses for later testing\\n\\n30% of 166 scientific problems solved via crowd \\n\\ncompetitions for prizes\\n\\npartnership with the Center for Open Science \\nto conduct the Reproducibility Project: \\nCancer Biology\\n\\nand small team projects\\n\\nDifferent study designs associated with widely \\ndispersed effect-size estimates for the same \\nresearch question; for four out of five \\nhypotheses examined, the materials from \\ndifferent teams returned significant effects in \\nopposite directions\\n\\nScience Exchange\\n\\nOnline marketplace that enables scientists to \\n\\nProgram to independently validate antibodies; \\n\\nStudySwap\\n\\nPlatform for posting brief descriptions of \\n\\nUsed to gather resources for both crowdsourced \\n\\nLandy et\\xc2\\xa0al.']"
19,18,40,18_rev_nat_natl_front,"['rev', 'nat', 'natl', 'front', 'assoc', 'stat', 'acad', '', '', '']","['Nat.', 'Rev.', 'Rev.']"
20,19,40,19_journal_social_personality_psychology,"['journal', 'social', 'personality', 'psychology', 'x80', 'xe2', 'experimental', 'npsychology', 'x93152', 'sociology']","['Journal of Experimental Social \\n\\nPsychology, 67, 68\\xe2\\x80\\x9382.', 'Journal of Personality and Social \\n\\nPsychology, 51(3), 515\\xe2\\x80\\x93530.', 'Journal of Personality and Social \\nPsychology, 51, 515\\xe2\\x80\\x93530.\\n\\nSeglen, P. O.']"
21,20,39,20_psychological_perspectives_nperspectives_x80,"['psychological', 'perspectives', 'nperspectives', 'x80', 'xe2', 'psychology', 'on', 'nscience', 'psychologist', 'sophomores']","['Perspectives on Psychological \\nScience, 13, 428\\xe2\\x80\\x93432.', '\\nPerspectives on Psychological Science, 14(5), 711\\xe2\\x80\\x93733.', 'Perspectives on Psychological Science, 14(5), 711\\xe2\\x80\\x93733.']"
22,21,38,21_imaging_fmri_behav_neuroimaging,"['imaging', 'fmri', 'behav', 'neuroimaging', 'mri', 'nbrain', 'enigma', 'resting', 'diffusion', 'analysis']","['Intermediate goals include \\ndeveloping and testing new pipelines for processing neuroimaging data that consider \\n\\nBrain Imaging Behav.', 'Ben Taub Department of Physical Medicine and Rehabilitation, Baylor College of Medicine, \\nHouston, TX\\n\\n4Psychiatry Neuroimaging Laboratory, Brigham & Women\\xe2\\x80\\x99s Hospital, Harvard Medical School, \\nBoston, MA\\n\\n5Imaging Genetics Center, Stevens Neuroimaging & Informatics Institute, Keck School of \\nMedicine of USC, Marina del Rey, CA\\n\\n6Missouri Institute of Mental Health, University of Missouri, St. Louis, MO\\n\\nAbstract\\n\\nThe Enhancing NeuroImaging Genetics through Meta-Analysis (ENIGMA) consortium brings \\ntogether researchers from around the world to try to identify the genetic underpinnings of brain \\nstructure and function, along with robust, generalizable effects of neurological and psychiatric \\ndisorders.', 'Additional imaging sequences, such as diffusion MRI (dMRI), \\ntask-based and resting-state fMRI (tbfMRI and rsfMRI), magnetic resonance spectroscopy \\n(MRS), and arterial spin labeling (ASL), and more detailed clinical and cognitive \\ninformation allow for broader participation, but are not required.']"
23,22,37,22_x80_xe2_15_x9352,"['x80', 'xe2', '15', 'x9352', '2021', '24', 'sometimes', 'you', '2020', '12']","['3, 24\\xe2\\x80\\x9352 (2020).\\n\\n4.', 'Sometimes you\\xe2\\x80\\x99re the scooper, and sometimes you get scooped: \\n\\nHow to turn both into something good.', 'The project involved \\n241\\xc2\\xa0collaborators and 11,570\\xc2\\xa0participants \\nspanning 41\\xc2\\xa0countries.']"
