,sentence,source
10,Alongside optimism about the practical\nbene\xef\xac\x81ts that crowdsourcing may provide are uncertainties about the\nvalidity of these approaches and how they can (and cannot) be used.\nThis special issue includes a collection of articles on best practices and\nemerging research using crowdsourcing for addictions research.\n\nArticles included in this special issue emphasize that data quality\nand control methods are critical in crowdsourcing platforms to\nensure data are reliable and valid.,ContentServer.asp.pdf
11,Jones et al.,ContentServer.asp.pdf
12,(2022) summarize\nthe importance of this work using a meta-analysis of careless\nresponding in crowdsourced alcohol use research and \xef\xac\x81nd that\napproximately 12% of participants are classi\xef\xac\x81ed as careless respon-\nders.,ContentServer.asp.pdf
13,"They also provide practical recommendations to address these\nissues to include the use of both overt and covert \xef\xac\x81delity measures.\nBelliveau and Yakovenko (2022) complement these \xef\xac\x81ndings by\nproviding a practical implementation guide with step-by-step in-\nstructions for screening for speeding, straight-lining (i.e., tendency\nto make the same response in a group of questions), inconsistent\nresponding, nonsensical responding, and missing data.",ContentServer.asp.pdf
14,Open-source\ncode for conducting these procedures is provided for those looking\nto adopt these methods in their own work.,ContentServer.asp.pdf
15,Conceptually related\nbehavioral economic research shows the practical implications of\n\nhttps://orcid.org/0000-0003-1077-0394\n\nJustin C. Strickland\nJustin C. Strickland\xe2\x80\x99s contribution was partially supported by National\nInstitute on Drug Abuse (NIDA; Grant R03DA054098).,ContentServer.asp.pdf
16,Michael Amlung\xe2\x80\x99s\ncontribution was partially supported by National Institute on Alcohol Abuse\nand Alcoholism (NIAAA; Grant R01AA027255) and the Cofrin Logan Center\nfor Addiction Research and Treatment at the University of Kansas.,ContentServer.asp.pdf
17,The authors\nhave no \xef\xac\x81nancial con\xef\xac\x82icts of interest in regard to this editorial introduction.\n\nJustin C. Strickland played lead role in writing of original draft and equal\nrole in conceptualization.,ContentServer.asp.pdf
18,Michael Amlung played equal role in conceptuali-\nzation and writing of review and editing.,ContentServer.asp.pdf
19,"Derek D. Reed played equal role in\nconceptualization and writing of review and editing.\n\nCorrespondence concerning this article should be addressed to Justin C.\nStrickland, Department of Psychiatry and Behavioral Sciences, Johns\nHopkins University School of Medicine, 5510 Nathan Shock Drive,\nBaltimore, MD 21224, United States.",ContentServer.asp.pdf
20,"Email: jstric14@jhmi.edu\n\n379\n\n\x0c380\n\nSTRICKLAND, AMLUNG, AND REED\n\nthese quality checks.",ContentServer.asp.pdf
21,Craft et al.,ContentServer.asp.pdf
22,(2022) \xef\xac\x81nd that delay-discounting\ndata from participants failing systematicity checks did not differ from\nrandomly generated data highlighting the importance of screening\nand removing data with a priori validity checks.,ContentServer.asp.pdf
23,"Freitas-Lemos et al.\n(2022) describe how a novel check based on instructional under-\nstanding differentiated participants on consistency of cigarette use\nreporting, responding on a cigarette demand task, and the relationship\nbetween use behavior and demand data.\n\nAs the methods to screen for quality data have improved, so have\nthe venues in which crowdsourcing has been applied.",ContentServer.asp.pdf
24,"Historically,\nAmazon Mechanical Turk was the primary crowdsourcing outlet for\npsychological and addiction science research.",ContentServer.asp.pdf
25,Belliveau et al.,ContentServer.asp.pdf
26,(2022)\ndescribe the use of the more recently developed Qualtrics Panels\nresource to study behavioral addictions (video gaming and gaming\ndisorder).,ContentServer.asp.pdf
27,They \xef\xac\x81nd that Qualtrics data offered a participant pool\nsimilar in demographics to a community-recruited population sup-\nporting feasibility and potential usefulness of the resource.,ContentServer.asp.pdf
28,Stanton\net al.,ContentServer.asp.pdf
29,"(2022) show how another novel platform, Proli\xef\xac\x81c, can facilitate\nrepeated measures data in two protocols: a 5-day daily diary protocol\nand a test\xe2\x80\x93retest protocol.",ContentServer.asp.pdf
30,They explain across these two independent\nstudies how Proli\xef\xac\x81c-recruited participants provided valid data\nconsistent with theoretical expectations and afforded ef\xef\xac\x81cient\ncollection of longitudinal outcomes.,ContentServer.asp.pdf
31,"Beyond online platforms like\nAmazon Mechanical Turk, Qualtrics Panels, and Proli\xef\xac\x81c, Pennington\net al.",ContentServer.asp.pdf
32,(2022) describe how big team science may ef\xef\xac\x81ciently crowd-\nsource researchers with the goal of producing reproducible projects\nconducted across varied institutions.,ContentServer.asp.pdf
33,"A review of existing work using\nbig team, crowdsourced approaches (e.g., ManyLabs, Psychological\nScience Accelerator) as well as a novel approach used by the study\nteam are described.\n\nHow crowdsourcing \xef\xac\x81ts within a broader research program is\nultimately varied and may include pilot projects, methods develop-\nment, intervention deployment, and more.",ContentServer.asp.pdf
34,Rzeszutek et al.,ContentServer.asp.pdf
35,(2022)\nprovide one example of how crowdsourcing may be used to evaluate\nnovel behavioral outcomes by studying cross-drug withdrawal\neffects for cigarette and opioids.,ContentServer.asp.pdf
36,"They use a behavioral economic\nframework to show that opioid withdrawal may increase cigarette\nvaluation, thereby providing a pathway for future treatment devel-\nopment work to build upon.",ContentServer.asp.pdf
37,Borodovsky (2022) integrates the above\nwork to describe differences between generalizability and represen-\ntativeness.,ContentServer.asp.pdf
38,"A clear and concise review of these concepts is provided\nalong with how such differences may inform the boundary condi-\ntions under which internet-based research may (or may not) advance\nthe literature.\n\nGiven the rapid emergence and evolution of crowdsourcing\nresearch platforms, it is safe to assume this is a method that is here to\nstay.",ContentServer.asp.pdf
39,This special issue highlights best practices for using crowdsour-\ncing in addiction science while also drawing attention to important\nmethodological and conceptual limitations.,ContentServer.asp.pdf
40,"We hope that addiction\n\nscientists continue to adhere to these guidelines while pushing the\nboundaries of possible work within crowdsourcing science.\n\nReferences\n\nBelliveau, J., Soucy, K. I., & Yakovenko, I.",ContentServer.asp.pdf
41,(2022).,ContentServer.asp.pdf
42,The validity of qualtrics\npanel data for research on video gaming and gaming disorder.,ContentServer.asp.pdf
43,"Experi-\nmental and Clinical Psychopharmacology, 30(4), 424\xe2\x80\x93431.",ContentServer.asp.pdf
44,"https://\ndoi.org/10.1037/pha0000575\n\nBelliveau, J., & Yakovenko, I.",ContentServer.asp.pdf
45,(2022).,ContentServer.asp.pdf
46,Evaluating and improving the quality\nof survey data from panel and crowd-sourced samples: A practical guide\nfor psychological research.,ContentServer.asp.pdf
47,"Experimental and Clinical Psychopharmacol-\nogy, 30(4), 400\xe2\x80\x93408.",ContentServer.asp.pdf
48,"https://doi.org/10.1037/pha0000564\n\nBorodovsky, J. T. (2022).",ContentServer.asp.pdf
49,Generalizability and representativeness: Consid-\nerations for internet-based research on substance use behaviors.,ContentServer.asp.pdf
50,"Experi-\nmental and Clinical Psychopharmacology, 30(4), 466\xe2\x80\x93477.",ContentServer.asp.pdf
51,"https://\ndoi.org/10.1037/pha0000581\n\nCraft, W. H., Tegge, A. N., Freitas-Lemos, R., Tomlinson, D. C., & Bickel,\nW.",ContentServer.asp.pdf
52,K. (2022).,ContentServer.asp.pdf
53,Are poor quality data just random responses?,ContentServer.asp.pdf
54,: A crowd-\nsourced study of delay discounting in alcohol use disorder.,ContentServer.asp.pdf
55,"Experimental\nand Clinical Psychopharmacology, 30(4), 409\xe2\x80\x93414.",ContentServer.asp.pdf
56,"https://doi.org/10\n.1037/pha0000549\n\nFreitas-Lemos, R., Tegge, A. N., Craft, W. H., Tomlinson, D. C., Stein, J. S., &\nBickel, W. K. (2022).",ContentServer.asp.pdf
57,Understanding data quality: Instructional comprehen-\nsion as a practical metric in crowdsourced investigations of behavioral\neconomic cigarette demand.,ContentServer.asp.pdf
58,"Experimental and Clinical Psychopharmacol-\nogy, 30(4), 415\xe2\x80\x93423.",ContentServer.asp.pdf
59,"https://doi.org/10.1037/pha0000579\n\nJones, A., Earnest, J., Adam, M., Clarke, R., Yates, J., & Pennington, C. R.\n(2022).",ContentServer.asp.pdf
60,Careless responding in crowdsourced alcohol research: A system-\natic review and meta-analysis of practices and prevalence.,ContentServer.asp.pdf
61,"Experimental\nand Clinical Psychopharmacology, 30(4), 381\xe2\x80\x93399.",ContentServer.asp.pdf
62,"https://doi.org/10\n.1037/pha0000546\n\nPennington, C. R., Jones, A. J., Tzavella, L., Chambers, C. D., & Button,\nK.",ContentServer.asp.pdf
63,S. (2022).,ContentServer.asp.pdf
64,Beyond online participant crowdsourcing: The bene\xef\xac\x81ts\nand opportunities of big team addiction science.,ContentServer.asp.pdf
65,"Experimental and Clini-\ncal Psychopharmacology,\nhttps://doi.org/10.10\n37/pha0000541\n\n444\xe2\x80\x93451.\n\n30(4),\n\nRzeszutek, M. J., Gipson-Reichardt, C. D., Kaplan, B.",ContentServer.asp.pdf
66,"A., & Koffarnus,\nM.",ContentServer.asp.pdf
67,N. (2022).,ContentServer.asp.pdf
68,Using crowdsourcing to study the differential effects of\ncross-drug withdrawal for cigarettes and opioids in a behavioral economic\ndemand framework.,ContentServer.asp.pdf
69,"Experimental and Clinical Psychopharmacology,\n30(4), 452\xe2\x80\x93465.",ContentServer.asp.pdf
70,"https://doi.org/10.1037/pha0000558\n\nStanton, K., Carpenter, R. W., Nance, M., Sturgeon, T., & Villalongo\nAndino, M. (2022).",ContentServer.asp.pdf
71,"A multisample demonstration of using the proli\xef\xac\x81c\nplatform for repeated assessment and psychometric substance use research.\nExperimental and Clinical Psychopharmacology, 30(4), 432\xe2\x80\x93443.",ContentServer.asp.pdf
72,"https://\ndoi.org/10.1037/pha0000545\n\nStrickland, J. C., & Stoops, W. W. (2019).",ContentServer.asp.pdf
73,The use of crowdsourcing in\naddiction science research: Amazon Mechanical Turk.,ContentServer.asp.pdf
74,"Experimental and\nClinical Psychopharmacology, 27(1), 1\xe2\x80\x9318.",ContentServer.asp.pdf
75,"https://doi.org/10.1037/pha\n0000235\n\nReceived May 10, 2022\nAccepted May 10, 2022 \xe2\x96\xaa\n\n.\ns\nr\ne\nh\ns\ni\nl\nb\nu\np\n\nd\ne\ni\nl\nl\na\n\ns\nt\ni\n\nf\no\n\ne\nn\no\n\nr\no\n\nn\no\ni\nt\na\ni\nc\no\ns\ns\nA\n\nl\na\nc\ni\ng\no\nl\no\nh\nc\ny\ns\nP\n\nn\na\nc\ni\nr\ne\nm\nA\ne\nh\nt\n\ny\nb\n\nd\ne\nt\nh\ng\ni\nr\ny\np\no\nc\n\ns\ni\n\nt\nn\ne\nm\nu\nc\no\nd\n\ns\ni\nh\nT\n\n.\n\nn\no\ni\nt\na\ni\nc\no\ns\ns\nA\n\nl\na\nc\ni\ng\no\nl\no\nh\nc\ny\ns\nP\n\nn\na\nc\ni\nr\ne\nm\nA\ne\nh\nt\n\nh\ng\nu\no\nr\nh\nt\n\no\ng\n\nt\ns\nu\nm\ne\nl\no\nh\nw\n\nr\no\n\nt\nr\na\np\n\nn\ni\n\nt\nn\ne\nt\nn\no\nc\n\ns\ni\nh\nt\n\ne\ns\nu\ne\nr\n\no\nt\n\ns\nt\ns\ne\nu\nq\ne\nr\n\ny\nn\na\n\nt\nu\nb\n\n,\nt\ns\no\nc\n\no\nn\n\nt\na\n\nd\ne\nr\na\nh\ns\n\ne\nb\n\ny\na\nm\n\nt\nn\ne\nt\nn\no\nC\n\n\x0c'",ContentServer.asp.pdf
76,"b""1 \n\nThe Benefits, Barriers, and Risks of Big Team Science \n\nAuthors: Patrick S. Forscher1,2, Eric-Jan Wagenmakers3, Nicholas A. Coles4,  \n\nMiguel Alejandro Silan5,6, Nat\xc3\xa1lia Dutra7, Dana Basnight-Brown8, & Hans IJzerman2,9 \n\n \nAffiliations: \n1Busara Center for Behavioral Economics \n2Universit\xc3\xa9 Grenoble Alpes \n3University of Amsterdam \n4Stanford University \n5Universit\xc3\xa9 Lumi\xc3\xa8re Lyon 2 \n6Annecy Behavioral Science Lab \n7Universidade Federal do Par\xc3\xa1 \n8United States International University-Africa \n9Institut Universitaire de France \n \nNotes: PSF and HIJ wrote the first draft; all authors provided critical comments and revisions.","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
77,"\nConflict of Interest Statement: PSF, NAC, MAS, ND, DB, and HIJ are members of the \nPsychological Science Accelerator, a network of psychology research labs that conducts big \nteam science projects.","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
78,"\n \nAbstract: Progress in psychology has been frustrated by challenges concerning replicability, \ngeneralizability, strategy selection, inferential reproducibility, and computational reproducibility.","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
79,"\nAlthough often discussed separately, these five challenges may share a common cause: \ninsufficient investment of intellectual and non-intellectual resources into the typical psychology \nstudy.","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
80,We suggest that the emerging emphasis on big team science can help address these \nchallenges by allowing researchers to pool their resources together to increase the amount \navailable for a single study.,"Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
81,"However, the current incentives, infrastructure, and institutions in \nacademic science have all developed under the assumption that science is conducted by solo \nPrincipal Investigators and their dependent trainees, an assumption that creates barriers to \nsustainable big team science.","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
82,"We also anticipate that big team science carries unique risks, such \nas the potential for big team science organizations to be co-opted by unaccountable leaders, \nbecome overly conservative, and make mistakes at a grand scale.","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
83,"Big team science organizations \nmust also acquire personnel who are properly compensated and have clear roles, raising risks \nrelated to mismanagement and a lack of financial sustainability.","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
84,"If researchers can manage its \nunique barriers and risks, big team science has the potential to spur great progress in psychology \nand beyond.","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
85,"\n\n \n\n \n\n \n\n\x0c2 \n\nDespite decades of investment, progress in psychology has been slower than many \n\nscholars would like (Fanelli, 2010; Meehl, 1978; Newell, 1973).","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
86,The lack of progress is \nempirically supported by the results of replication studies.,"Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
87,"Whether with the same population, \nsetting, and materials (the replicability challenge; Klein et al., 2014; Open Science \nCollaboration, 2015) or after a change to one or more of these features (the generalizability \nchallenge; Henrich et al., 2010; Tiokhin et al., 2019; Yarkoni, 2019), replicated results often \ndiffer meaningfully from original results.","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
88,"Meaningful differences also occur in other forms of \nreplication, such as: when separate teams develop research strategies to address the same \nresearch question (the strategy selection challenge; Landy et al., 2020) when separate teams \ndevelop analysis plans for the same dataset (the inferential reproducibility challenge; Botvinik-\nNezer et al., 2019; Silberzahn et al., 2018), and even when separate teams write code to execute \nthe same analysis (the computational reproducibility challenge; Donoho et al., 2008; Hardwicke \net al., 2018; Obels et al., 2019).","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
89,\n\nThese five challenges have complex proximal causes.,"Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
90,Yet they may share a common \n\nultimate cause: insufficient resource investment in the typical psychology study.,"Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
91,"Insofar as this \npremise is true, a particular method of collaboration, big team science, may help address this \nultimate cause by efficiently scaling up the resources that can be invested in any given study.","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
92,"We \ndefine big team science as a method involving a relatively large number of collaborators who \nmay be dispersed across labs, institutions, disciplines, cultures, and continents.","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
93,"We contrast this \nsystem of science with small team science, which is usually organized around a single Principal \nInvestigator and their dependent trainees.","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
94,"If the unique risks and challenges of big team science \nare properly understood and managed, this method of collaboration may have great potential to \nimprove the efficiency and information value of psychological science.","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
95,\n\nThe challenges in psychology share a common cause \n\nDiscussion of the slow progress in psychology has a long history.,"Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
96,"Scholars have argued \npersuasively that each of the five challenges facing psychology has a pernicious and potentially \ndestructive influence on scientific progress (Donoho et al., 2008; Landy et al., 2020; Meehl, \n1978; Sears, 1986; Silberzahn et al., 2018).","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
97,"These scholars have also presented a dizzying array \nof remedies for these challenges, ranging from increasing study sample sizes (Button et al., \n2013), which ought to improve replicability, to implementing version control (Vuorre & Curley, \n2018), which ought to improve computational reproducibility.","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
98,"Although varied, these remedies \nshare a common feature: they ask researchers to incur additional costs to improve a particular \naspect of study rigor (Finkel et al., 2017; LeBel et al., 2017; see Table 1 for a list of proposed \nremedies and their attendant costs).","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
99,"\n\nBecause the individual researcher incurs costs for each remedy, discussions of problems \n\nin psychology tend to assume that implementations of these remedies are zero-sum in the \nfollowing sense.","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
100,"The scientific resources that are available to a given researcher, such as time, \nlabor, and money, are limited.","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
101,"This means that, as long as a solution to improve, say, replicability \ndoes not also improve all the other aspects of study rigor, resources devoted to implementing that \nsolution to replicability must necessarily take away resources that could be spent on solutions to \nother aspects of rigor.","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
102,"Replicability, generalizability, inferential reproducibility, strategy \nselection, and computational reproducibility thus become qualities that must be traded off each \n\n \n\n\x0c3 \n\nother because devoting resources to improve one of these five qualities means sacrificing \nresources that could be invested in improving the others.","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
103,\n\nChallenge \n\nSuggested remedy \n\nCosts of implementation \n\nIncrease sample size \n\nLabor and money for extra recruitment \n\nWho bears costs?,"Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
104,"\n\nResearchers; \nparticipants \n\nReplicability \n\nPreregister analysis plans \n\nLabor creating preregistration and making it \naccessible on a platform \n\nResearchers;  \nplatform maintainers \n\nImprove documentation of \nmaterials \n\nLabor creating and archiving documentation \nmaterials \n\nResearchers;  \nplatform maintainers \n\nUse special platforms to recruit \nculturally different participants \n\nLabor developing, maintaining, and learning to \nuse new platforms; money using and \nmaintaining the platforms \n\nResearchers; \nplatform maintainers \n\nGeneralizability \n\nCollaborate with colleagues from \ndifferent settings & backgrounds \n\nLabor developing relationships with new \ncolleagues \n\nImprove generality of materials \n\nLabor and money developing and validating \nimproved stimuli and measures \n\nExamine many construct \noperationalizations \n\nLabor and money examining different \noperationalizations \n\nResearchers \n\nResearchers; \nparticipants \n\nResearchers; \nparticipants \n\nStrategy selection \n\nConsensus design \n\nMachine-readable hypothesis tests \n\nInferential \nreproducibility \n\nMany analyst design \n\nLabor developing relationships with relevant \nexperts; labor implementing consensus process \n\nResearchers \n\nLabor learning and implementing machine-\nreadable systems; money developing and \nmaintaining platforms \n\nLabor making connections with relevant \nanalysts \n\nResearchers;  \nplatform maintainers \n\nResearchers \n\nExamine a multiverse of tests \n\nLabor developing relationships with relevant \nexperts; labor implementing multiverse analysis \n\nResearchers \n\nShare code and data \n\nLabor to put code and data into a shareable \nform; money developing and maintaining \nsharing platforms \n\nResearchers;  \nplatform maintainers \n\nImplement code checking \n\nLabor and money implementing code checking  Researches; journals \n\nLabor making code readable and hygienic \n\nResearchers \n\nUse capsules, version control, and \nmarkdown \n\nLabor learning and implementing new \nworkflows; money maintaining capsule and \nversion control platforms \n\nResearchers;  \nplatform maintainers \n\nComputational \nreproducibility \n\nImprove documentation of \ncodebases \n\nTable 1.","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
105,Five challenges in psychology and some proposed remedies for these challenges.,"Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
106,The challenges all ask \nresearchers to bear extra costs to improve some aspect of study rigor.,"Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
107,"\n \n\n \n\n \n\n\x0c4 \n\nWe suggest that the views that prioritize one aspect of rigor over the others all share an \nimportant, mistaken assumption: the pool of resources available for investment in a given study \nis fixed.","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
108,"If the resources devoted to a single study are not fixed, these resources may be raised to \na level that is high enough that no tradeoffs are necessary among the various types of research \nrigor.","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
109,"Instead, a researcher need merely select as many of the rigor-enhancing strategies from \nTable 1 as they like and invest the money, human resources, and skills required to deploy those \nstrategies.","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
110,"\n\nThus, although they are often discussed separately, all five of psychology\xe2\x80\x99s major \n\nproblems may share a common cause: under-investment of resources, whether those resources \nare money, person-hours, or specialized expertise, in psychology studies (see also Cuccolo et al., \n2021; Uhlmann et al., 2019).","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
111,"Instead of asking which aspects of study rigor ought to be \nprioritized, reframing psychology\xe2\x80\x99s problems from this perspective allows us to ask a different \nquestion: how can we increase the resources invested in psychology studies and ascertain that the \nextra investment is used efficiently?","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
112,"\n\nIncreasing resource investment through big team science organizations \n\nIncreasing the per-study resource investment across an entire research ecosystem faces a \n\ncollective action problem: as long as scientists are rewarded for publishing more studies, any \nsingle scientist who decides to invest more resources in fewer studies will be outcompeted by \nscientists who invest less resources in more studies (Smaldino & McElreath, 2016).","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
113,"Any attempt \nto increase the per-study resource investment of the entire ecosystem must adopt one of two \nsolutions: (1) directly change the institutional incentives that prioritize quantity of publication \nand/or (2) devise new institutions, which we call big team science organizations, that allow blocs \nof scientists to increase the resource investments in concert.","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
114,\n\nDirect change in the institutions of science is difficult because science itself has a \n\ndecentralized structure \xe2\x80\x93 changing its reward structures requires buy-in from many independent \nactors.,"Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
115,This limits the effectiveness of initiatives to directly change the incentives that prioritize \nquantity of publication.,"Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
116,A similar problem afflicts the establishment of new organizations that \ncoordinate the efforts of scientists to jointly invest in single projects.,"Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
117,"Fortunately, new \ninformation and communication technologies, such as the Google suite of collaboration tools, the \nOpen Science Framework, Slack, and Zoom, have made the establishment of such organizations \nmore feasible because they permit rapid, low-cost communication across far-flung countries and \ncircumstances (Teasley & Wolinsky, 2001).","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
118,"Such communication lays the groundwork for new \ninstitutions that can change how scientific actors spend resources on their science (Spellman, \n2015).","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
119,\n\nThe function of an organization is to coordinate the activities of many actors \n\nsimultaneously.,"Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
120,"An organization solves the collective action problem faced by individual actors \nby allowing multiple actors to pre-commit to a coordinated, simultaneous course of action.","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
121,"In the \ncontext of science, a big team science organization allows many scientists to pre-commit to \ninvesting their limited scientific resources into one big project in exchange for an individual \nreward \xe2\x80\x93 usually, authorship on a publication, though other rewards are possible, such as money \nor networking opportunities.","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
122,"During the project itself, the organization coordinates the actions of \n\n \n\n\x0c5 \n\nthe scientists so that they do not work at cross-purposes.","Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
123,These functions allow the per-study \ninvestments from big team science projects to eclipse what is achievable in small team science.,"Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
124,\n\nWe believe that the primary and most definitional function of a big team science \n\norganization is to allow larger investments of material and intellectual resources in a given \nproject.,"Forscher et al. - The Benefits, Barriers, and Risks of Big Team Scie.pdf"
